"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"11/10/2021","3,351,992","59%","1,514,453","69%","159,254","48%","134,400","47%","24,608","79%","926,005","98%","7,445","44%"
"11/11/2021","2,922,235","116%","1,198,235","120%","143,386","152%","122,940","118%","19,846","105%","895,643","109%","5,493","179%"
"11/12/2021","3,158,682","56%","1,350,608","62%","141,671","43%","117,650","41%","21,598","69%","919,941","98%","6,082","36%"
"11/13/2021","2,169,863","69%","815,114","62%","80,829","70%","74,296","49%","13,124","77%","869,112","96%","2,286","66%"
"11/14/2021","1,703,136","68%","657,129","66%","72,488","77%","62,856","60%","12,460","66%","858,311","104%","1,772","58%"
"11/15/2021","3,110,969","55%","1,437,414","66%","160,952","49%","132,234","46%","22,208","71%","890,524","94%","6,792","40%"
"11/16/2021","3,340,844","59%","1,492,110","68%","161,362","49%","137,235","48%","23,694","76%","902,386","96%","7,472","44%"
"11/17/2021","3,369,069","60%","1,501,740","69%","158,372","48%","131,113","46%","24,396","78%","915,266","97%","7,453","44%"
"11/18/2021","3,412,249","61%","1,505,488","69%","157,433","48%","132,632","46%","24,071","77%","959,226","102%","7,511","44%"
"11/19/2021","3,316,999","59%","1,429,787","65%","151,795","46%","127,093","44%","22,662","73%","987,149","105%","6,842","40%"
"11/20/2021","2,135,731","68%","861,772","65%","94,412","82%","82,894","55%","13,195","78%","915,131","101%","2,367","68%"
"11/21/2021","1,674,206","66%","674,551","68%","80,467","85%","66,859","64%","12,774","68%","841,901","102%","1,827","60%"
"11/22/2021","3,130,363","56%","1,418,226","65%","156,874","48%","127,776","45%","21,441","69%","901,942","96%","6,896","41%"
"11/23/2021","3,286,591","58%","1,424,890","65%","162,241","49%","136,562","48%","22,574","72%","989,345","105%","7,194","42%"
"11/24/2021","3,085,289","55%","1,343,391","61%","165,349","50%","139,391","49%","21,002","67%","992,568","105%","6,589","39%"
"11/25/2021","1,357,198","54%","509,782","51%","125,417","133%","69,945","67%","15,459","82%","861,084","105%","1,990","65%"
"11/26/2021","2,089,772","83%","843,588","85%","128,452","136%","108,747","104%","11,077","59%","789,915","96%","3,205","104%"
"11/27/2021","1,880,422","60%","750,986","57%","83,676","73%","76,112","50%","10,620","63%","850,980","94%","2,216","64%"
"11/28/2021","1,465,745","58%","592,081","59%","75,197","80%","65,128","63%","10,481","56%","825,585","100%","1,669","54%"
"11/29/2021","2,996,015","53%","1,381,661","63%","166,154","51%","132,498","46%","21,124","68%","900,399","95%","6,692","39%"
"11/30/2021","3,207,209","57%","1,432,539","65%","166,738","51%","136,630","48%","22,469","72%","897,216","95%","7,124","42%"
"12/01/2021","3,326,469","62%","1,463,384","73%","163,163","52%","136,126","49%","23,347","80%","899,319","102%","7,266","47%"
"12/02/2021","3,358,843","63%","1,449,142","72%","154,723","49%","127,508","46%","22,540","77%","923,179","104%","7,290","47%"
"12/03/2021","3,374,097","63%","1,419,078","71%","144,500","46%","119,424","43%","22,518","77%","940,827","106%","6,442","41%"
"12/04/2021","2,318,147","70%","864,764","68%","91,477","71%","81,392","52%","13,317","77%","864,918","98%","56","1%"
"12/05/2021","1,737,352","68%","665,129","68%","72,716","68%","60,526","56%","12,541","70%","818,544","103%","193","6%"
"12/06/2021","3,135,869","59%","1,394,230","70%","154,970","49%","127,260","46%","21,761","75%","865,595","98%","6,687","43%"
"12/07/2021","3,367,790","63%","1,453,136","73%","153,749","49%","131,033","47%","23,262","80%","883,027","100%","7,367","47%"
"12/08/2021","3,378,727","63%","1,430,106","71%","156,218","49%","130,222","47%","22,691","78%","889,409","100%","6,948","45%"
"12/09/2021","3,433,600","64%","1,436,883","72%","154,367","49%","126,159","45%","22,743","78%","927,903","105%","7,222","46%"
"12/10/2021","3,417,451","64%","1,404,176","70%","152,524","48%","127,711","46%","22,237","76%","962,125","109%","6,331","41%"
"12/11/2021","2,266,265","68%","786,137","62%","91,894","72%","81,068","52%","13,396","78%","863,814","98%","2,291","46%"
"12/12/2021","1,829,872","72%","627,007","64%","80,874","76%","66,471","62%","12,189","68%","828,121","104%","1,833","54%"
"12/13/2021","3,120,850","58%","1,333,718","67%","153,387","49%","129,698","46%","21,617","74%","874,293","99%","6,769","43%"
"12/14/2021","3,274,170","61%","1,378,221","69%","154,939","49%","131,812","47%","23,042","79%","894,669","101%","7,124","46%"
"12/15/2021","3,242,168","61%","1,436,154","72%","153,128","48%","129,761","47%","23,732","81%","921,048","104%","6,908","44%"
"12/16/2021","3,219,799","60%","1,438,193","72%","152,710","48%","126,131","45%","23,623","81%","948,535","107%","7,043","45%"
"12/17/2021","3,112,088","58%","1,375,383","69%","146,111","46%","121,037","43%","22,539","77%","968,689","109%","6,404","41%"
"12/18/2021","1,880,969","57%","786,073","62%","74,306","58%","66,097","42%","12,312","71%","832,994","94%","1,987","40%"
"12/19/2021","1,579,809","62%","636,393","65%","65,698","62%","56,292","52%","12,238","69%","784,051","98%","1,694","50%"
"12/20/2021","2,716,451","51%","1,277,654","64%","132,078","42%","102,695","37%","20,318","70%","856,849","97%","5,979","38%"
"12/21/2021","2,697,325","51%","1,299,476","65%","124,376","39%","97,141","35%","21,656","74%","866,595","98%","5,772","37%"
"12/22/2021","2,634,565","49%","1,252,621","63%","117,678","37%","92,941","33%","21,673","74%","878,197","99%","5,594","36%"
"12/23/2021","2,486,489","47%","1,166,953","58%","118,388","37%","97,238","35%","19,335","66%","899,513","102%","5,000","32%"
"12/24/2021","1,575,449","62%","746,809","76%","97,408","91%","81,055","75%","12,009","67%","738,612","93%","2,289","67%"
"12/25/2021","810,937","24%","329,549","26%","39,466","31%","31,575","20%","9,021","52%","582,582","66%","1,008","20%"
"12/26/2021","1,284,738","51%","518,897","53%","56,467","53%","51,478","48%","8,744","49%","673,477","85%","1,746","51%"
"12/27/2021","2,007,649","38%","890,096","44%","108,463","34%","89,427","32%","14,952","51%","744,547","84%","4,026","26%"
"12/28/2021","2,168,419","41%","953,933","48%","109,904","35%","89,719","32%","16,736","57%","764,364","86%","4,372","28%"
"12/29/2021","2,167,077","41%","921,562","46%","105,898","34%","92,605","33%","16,859","58%","768,653","87%","3,996","26%"
"12/30/2021","2,198,415","41%","928,012","46%","110,101","35%","90,827","33%","16,177","55%","804,654","91%","3,944","25%"
"12/31/2021","1,627,589","64%","699,749","71%","96,699","91%","85,232","79%","11,498","64%","628,305","79%","2,270","67%"
"01/01/2022","1,027,918","38%","350,845","29%","33,980","35%","30,341","23%","4,904","34%","498,515","65%","1,262","31%"
"01/02/2022","1,219,735","58%","475,096","52%","49,155","59%","42,587","47%","8,383","62%","624,655","92%","1,571","57%"
"01/03/2022","2,168,229","42%","1,000,002","49%","102,961","34%","83,990","31%","16,437","58%","692,740","80%","4,515","28%"
"01/04/2022","2,289,352","45%","1,082,360","53%","104,247","34%","81,978","30%","17,909","63%","733,369","84%","4,795","29%"
"01/05/2022","2,267,942","44%","1,078,511","53%","98,251","33%","77,579","29%","18,861","67%","709,060","82%","4,659","28%"
"01/06/2022","2,391,176","46%","1,146,904","56%","103,562","34%","82,567","31%","18,672","66%","780,026","90%","4,909","30%"
"01/07/2022","2,121,941","41%","880,997","43%","90,207","30%","73,067","27%","14,203","50%","559,774","64%","3,628","22%"
"01/08/2022","1,486,065","55%","631,341","53%","51,707","53%","46,428","36%","9,126","63%","641,533","84%","1,672","41%"
"01/09/2022","1,102,472","53%","475,438","52%","43,383","52%","35,309","39%","7,916","59%","567,494","83%","1,210","44%"
"01/10/2022","2,347,323","46%","1,147,341","56%","116,463","39%","90,220","34%","18,268","65%","762,712","88%","4,954","30%"
"01/11/2022","2,266,378","44%","1,040,581","51%","104,378","35%","81,438","30%","17,388","61%","753,381","87%","4,655","28%"
"01/12/2022","2,459,224","48%","1,179,931","58%","111,022","37%","86,050","32%","19,679","70%","784,901","90%","5,024","31%"
"01/13/2022","2,524,197","49%","1,218,552","60%","112,519","37%","87,672","33%","19,918","70%","821,641","95%","5,132","31%"
"01/14/2022","2,522,972","49%","1,186,647","58%","109,199","36%","88,634","33%","18,878","67%","866,901","100%","4,774","29%"
"01/15/2022","1,434,676","53%","573,037","48%","53,410","55%","45,309","35%","9,510","66%","703,293","92%","1,449","35%"
"01/16/2022","1,165,626","56%","456,257","50%","43,578","53%","38,025","42%","8,545","63%","621,361","91%","1,140","42%"
"01/17/2022","1,600,048","77%","694,066","76%","98,738","119%","44,075","49%","8,760","65%","649,397","95%","2,190","80%"
"01/18/2022","2,541,044","49%","1,222,195","60%","125,615","42%","100,364","37%","19,389","69%","815,605","94%","5,381","33%"
"01/19/2022","2,642,129","51%","1,286,788","63%","121,249","40%","96,281","36%","21,111","75%","829,778","95%","5,598","34%"
"01/20/2022","2,545,486","49%","1,181,953","58%","112,595","37%","88,196","33%","18,616","66%","766,608","88%","5,031","31%"
"01/21/2022","2,565,781","50%","1,151,816","56%","113,474","38%","91,079","34%","19,079","67%","864,079","99%","4,748","29%"
"01/22/2022","1,583,650","58%","655,490","55%","59,412","61%","53,737","41%","10,455","72%","735,629","96%","1,642","40%"
"01/23/2022","1,245,716","60%","529,115","58%","48,672","59%","43,647","48%","9,446","70%","685,007","100%","1,245","45%"
"01/24/2022","2,536,827","49%","1,244,112","61%","127,750","42%","100,520","37%","19,472","69%","791,390","91%","5,188","32%"
"01/25/2022","2,701,246","53%","1,308,979","64%","124,499","41%","98,859","37%","21,233","75%","817,021","94%","5,625","34%"
"01/26/2022","2,711,803","53%","1,266,798","62%","118,625","39%","96,253","36%","21,033","74%","833,936","96%","5,197","32%"
"01/27/2022","2,724,979","53%","1,275,573","62%","119,039","39%","95,748","36%","20,934","74%","869,615","100%","5,271","32%"
"01/28/2022","2,703,403","53%","1,208,092","59%","120,912","40%","96,409","36%","20,115","71%","866,261","100%","4,994","30%"
"01/29/2022","999,347","37%","271,959","23%","8,142","8%","22,016","17%","5,353","37%","174,348","23%","852","21%"
"01/30/2022","1,262,477","60%","460,299","50%","47,852","58%","45,002","50%","5,974","44%","506,466","74%","1,233","45%"
"01/31/2022","2,575,762","50%","1,139,164","56%","132,248","44%","109,718","41%","18,400","65%","777,628","89%","4,968","30%"
"02/01/2022","2,635,083","49%","1,127,084","52%","135,255","45%","111,424","41%","20,357","69%","804,390","91%","4,993","31%"
"02/02/2022","2,940,152","54%","1,314,898","61%","140,059","46%","110,996","41%","22,427","76%","846,701","96%","5,830","36%"
"02/03/2022","2,914,198","54%","1,304,726","61%","126,901","42%","104,093","39%","22,325","76%","853,193","97%","5,750","36%"
"02/04/2022","2,725,725","50%","1,176,367","55%","117,899","39%","94,290","35%","18,557","63%","781,068","88%","5,072","31%"
"02/05/2022","1,792,780","63%","726,750","57%","61,201","65%","61,496","47%","11,377","70%","775,134","93%","1,835","43%"
"02/06/2022","1,323,892","60%","558,211","57%","51,472","66%","48,395","53%","10,621","63%","744,779","99%","1,388","49%"
"02/07/2022","2,784,230","51%","1,297,024","60%","136,455","45%","111,297","41%","21,120","72%","809,094","92%","5,711","35%"
"02/08/2022","3,016,648","56%","1,387,432","64%","141,653","47%","119,190","44%","22,667","77%","851,665","96%","6,254","39%"
"02/09/2022","3,088,775","57%","1,421,706","66%","143,673","47%","115,341","43%","23,863","81%","868,057","98%","6,297","39%"
"02/10/2022","3,112,489","57%","1,423,775","66%","143,062","47%","115,707","43%","23,341","79%","905,812","103%","6,362","39%"
"02/11/2022","3,015,472","56%","1,348,189","63%","131,038","43%","110,674","41%","22,608","77%","939,270","106%","5,570","34%"
"02/12/2022","2,026,308","71%","820,629","65%","71,709","77%","71,813","55%","13,376","82%","867,255","104%","2,295","54%"
"02/13/2022","1,349,864","62%","510,307","52%","50,534","65%","46,395","51%","10,013","59%","655,107","87%","1,322","47%"
"02/14/2022","2,907,825","54%","1,272,100","59%","142,507","47%","113,260","42%","20,812","71%","862,473","98%","5,803","36%"
"02/15/2022","3,030,742","56%","1,340,123","62%","146,607","48%","119,034","44%","21,922","74%","873,240","99%","6,447","40%"
"02/16/2022","3,100,639","57%","1,406,714","65%","140,431","46%","115,325","43%","23,513","80%","875,377","99%","6,337","39%"
"02/17/2022","3,109,956","57%","1,408,571","65%","141,226","47%","115,718","43%","23,713","81%","911,310","103%","6,527","40%"
"02/18/2022","2,953,785","54%","1,285,978","60%","129,403","43%","112,030","42%","21,470","73%","947,650","107%","5,677","35%"
"02/19/2022","1,792,136","62%","723,602","57%","64,696","69%","66,545","51%","12,171","75%","813,140","98%","2,108","49%"
"02/20/2022","1,477,125","67%","571,789","59%","55,015","70%","54,863","60%","11,017","65%","768,971","102%","1,517","54%"
"02/21/2022","1,942,267","89%","873,961","89%","109,882","141%","63,892","70%","12,500","74%","816,227","108%","2,781","99%"
"02/22/2022","2,669,508","49%","1,143,526","53%","135,406","45%","112,764","42%","19,233","65%","846,877","96%","5,767","36%"
"02/23/2022","2,894,245","53%","1,247,209","58%","140,229","46%","119,188","44%","23,807","81%","892,767","101%","6,116","38%"
"02/24/2022","2,858,146","53%","1,196,924","56%","132,496","44%","110,395","41%","21,868","74%","911,720","103%","5,879","36%"
"02/25/2022","2,575,630","47%","1,027,563","48%","114,658","38%","90,953","34%","18,740","64%","794,852","90%","4,544","28%"
"02/26/2022","1,824,833","64%","775,358","61%","71,783","77%","61,573","47%","12,226","75%","847,294","102%","2,012","47%"
"02/27/2022","1,403,227","64%","604,646","62%","62,913","81%","51,604","57%","11,337","67%","802,377","106%","1,523","54%"
"02/28/2022","2,915,786","54%","1,362,855","63%","134,902","45%","118,572","44%","21,929","75%","859,177","97%","6,170","38%"
"03/01/2022","3,138,181","56%","1,435,834","64%","165,769","53%","150,787","55%","22,944","77%","873,348","95%","6,655","42%"
"03/02/2022","3,208,166","58%","1,463,263","65%","159,238","51%","140,945","51%","24,289","82%","896,503","97%","6,680","42%"
"03/03/2022","3,207,495","58%","1,434,851","64%","152,883","49%","132,506","48%","23,800","80%","923,154","100%","6,674","42%"
"03/04/2022","3,077,537","55%","1,363,159","61%","145,518","46%","125,143","45%","22,821","77%","957,694","104%","5,807","36%"
"03/05/2022","1,955,535","64%","812,774","61%","69,010","64%","70,427","52%","13,269","78%","865,292","99%","2,116","42%"
"03/06/2022","1,444,501","63%","600,501","60%","53,034","61%","52,874","56%","12,557","71%","787,598","98%","1,550","49%"
"03/07/2022","2,980,920","54%","1,395,540","62%","153,907","49%","129,784","47%","22,465","76%","861,409","93%","6,161","39%"
"03/08/2022","3,244,473","58%","1,456,451","65%","158,652","51%","138,811","50%","24,076","81%","894,132","97%","6,923","43%"
"03/09/2022","3,113,559","56%","1,338,822","60%","153,393","49%","129,056","47%","23,477","79%","832,720","90%","6,200","39%"
"03/10/2022","3,339,363","60%","1,476,288","66%","163,931","52%","140,107","51%","24,515","82%","945,191","103%","6,914","43%"
"03/11/2022","3,195,956","57%","1,419,371","63%","158,985","51%","135,371","49%","23,736","80%","986,555","107%","6,150","39%"
"03/12/2022","1,663,893","54%","637,601","48%","51,679","48%","59,927","44%","10,655","63%","669,502","77%","1,748","35%"
"03/13/2022","1,479,406","65%","590,753","59%","59,964","69%","57,548","61%","11,491","65%","792,377","98%","1,524","48%"
"03/14/2022","3,008,800","54%","1,406,578","63%","159,962","51%","134,093","49%","22,480","76%","879,699","95%","6,416","40%"
"03/15/2022","3,275,906","59%","1,454,522","65%","171,406","55%","146,786","53%","24,272","82%","906,028","98%","7,287","46%"
"03/16/2022","3,332,335","60%","1,476,356","66%","168,768","54%","145,085","53%","25,305","85%","914,284","99%","7,009","44%"
"03/17/2022","3,175,784","57%","1,350,810","60%","166,884","53%","135,727","49%","22,946","77%","888,875","96%","6,768","42%"
"03/18/2022","3,275,433","59%","1,402,806","63%","163,169","52%","137,528","50%","24,019","81%","978,491","106%","6,288","39%"
"03/19/2022","2,001,839","65%","820,933","62%","74,087","69%","73,974","54%","12,877","76%","872,810","100%","2,050","40%"
"03/20/2022","1,656,673","72%","628,693","63%","67,551","78%","63,818","68%","12,736","72%","879,711","109%","1,722","55%"
"03/21/2022","3,034,759","55%","1,418,900","63%","165,487","53%","134,182","49%","22,229","75%","880,846","96%","6,367","40%"
"03/22/2022","3,276,940","59%","1,471,299","66%","168,328","54%","144,765","53%","23,948","81%","891,089","97%","7,082","44%"
"03/23/2022","3,275,708","59%","1,438,665","64%","161,202","51%","138,873","50%","24,574","83%","891,509","97%","6,540","41%"
"03/24/2022","3,212,181","58%","1,373,850","61%","162,392","52%","134,129","49%","22,998","77%","900,384","98%","6,513","41%"
"03/25/2022","3,218,970","58%","1,397,899","62%","158,528","51%","133,368","48%","23,274","78%","967,743","105%","6,075","38%"
"03/26/2022","2,024,596","66%","783,499","59%","71,809","67%","73,933","54%","13,208","78%","875,353","101%","2,154","43%"
"03/27/2022","1,534,056","67%","628,313","63%","64,950","75%","58,044","62%","11,809","67%","830,360","103%","1,602","51%"
"03/28/2022","2,989,874","54%","1,336,330","60%","153,222","49%","130,886","47%","22,114","74%","868,259","94%","6,096","38%"
